タイムスタンプ,いつ,どこで,誰が/誰と,何を,どうした
2024/01/26 12:15:25,5歳の時,家の雪山のかまくらで,家族と,みかん,食べた
2024/01/26 12:16:08,高校2年生くらいのとき,実家,弟,雪だるま,作った
2024/01/26 12:19:49,21年前、高校1年生の時,高校で,生物部の同級生と先輩と,テストが延期となり、雪遊びをして,雪だるまを作ったら壊された。
2024/01/26 12:35:35,9年前のまだ暗い早朝,バイトに行く道で,私1人が,足跡のない新雪の上を,あるいて途方もない気持ちになった
2024/01/26 13:25:26,学部1年の頃,北大馬場で,私,馬を(馬に乗って),走った
2024/01/26 14:56:32,保育園の時,道路,母が,私を,吹雪の中背負って保育園まで送ってくれた
2024/01/26 16:06:08,子どもの頃（25年以上前）,スキー場で,父と,スキーの練習をして,私が泣きながらスパルタで教えられた
2024/01/26 16:57:53,１０年くらい前,スキー場の端っこ,私　そして、通りがかりの人,スキー板と自分,新雪に突っ込んで、板がリリースして、自分が抜けられなくなった。通りがかりの人に助けてもらった。
2024/01/26 17:01:31,１５年前くらい,スキー場,私と娘、プロスキーヤー,娘が怖がって下りられなくなった,プロスキーヤーが背負って下りてくれた。私は後ろをトレースして、下山。妙に褒められたが、無謀でもあった。反省した。
2024/01/26 19:22:29,11年前の1月、,関東の普段雪が降らない地域で,私と家族が、,雪でスタックしている他人の車を,押して脱出させた。
2024/01/26 19:24:57,大学一年の時、,留学先のイギリスで、,ホームステイ先のホストマザーが、,日本から届いた祖母の訃報を聞いて泣く私に対して、,「今日の雪はあなたの涙、きっとおばあちゃんが空から見てるのよ。」と言った。」
2024/01/26 19:30:33,小学生の時、,スキー場近くのコンビニで、,父と私が,カップラーメンを買ってお湯を入れてもらい、,寒い屋外で「おいしいなあ」と言いながら食べた
2024/01/26 20:59:40,10年くらい前,宿,娘と,大きな雪だるまを,作った
2024/01/26 21:21:30,30年以上前,当時通っていた大学で,友人の車で帰宅しようとして走り出したとき,吹雪きの中で鳴いている子猫を,見つけて、いったんは通りすぎたもののすぐに引き返して拾い家に連れて帰った
2024/01/26 21:27:44,25年ほど前,スキー場（GALA湯沢）,当時９歳の長男,地震にあって,帰りの新幹線が遅延した
2024/01/26 22:59:25,30年前,学校帰り,友達と,雪玉を,ぶつけあっていた。
2024/01/26 23:55:24,幼稚園のとき,家の近所の物置,友達と,物置,屋根に登っていて、滑って落ちた
2024/01/27 13:59:01,7歳の頃,近所の空き地,当時仲の良かった近所の子,ソリを使って崖の上から下に向かう急斜面を,滑り落ちた（怖かったけど楽しかった）
2024/01/28 10:17:47,東日本大震災のとき,職場からの帰り道で,私が,はっさくを,買わなかった
2024/01/28 10:19:21,9歳の時,スキー場で,私が　父と,樹氷を,囓った
2024/01/28 10:22:22,幼稚園のとき,道で,私が,積雪に,潜ろうとした
2024/01/28 20:22:42,5歳の時,幼稚園の校庭,私,空から降る雪を,食べた
2024/01/29 9:06:14,12年前,学校の帰り道で,わたしと、母と、友人,吹雪の中車で,帰った
2024/01/29 18:07:46,2年前の2月末,紋別の道路,友人,車,立ち往生に巻き込まれて、4時間待機した
2024/01/31 1:28:34,25年くらい前,新潟のおばあちゃん家の前,家族とかもいた,ただおばあちゃん家の前で雪が降っていた,その景色の中にいた